datetime,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,ozone,sulphur_dioxide,temperature_2m,relative_humidity_2m,wind_speed_10m,month,aqi,hour,day,weekday,hour_sin,aqi_change_rate,aqi_rolling_24h,aqi_lag_1h,pm_ratio,temp_humidity_ratio,wind_effect,high_pollution_flag
2024-01-01 00:00:00,68.9,46.2,598.0,6.7,97.0,19.9,15.3,65,11.9,1,127,0,1,0,0.0,3.0,127.0,127.0,0.6705370004276198,0.2353846117633136,5.769234480931412,0
2024-01-01 01:00:00,70.1,47.1,689.0,14.8,89.0,20.4,15.0,67,12.4,1,130,1,1,0,0.2588190451025207,3.0,128.5,127.0,0.6718972800014654,0.2238805936734239,6.200000000000002,0
2024-01-01 02:00:00,72.6,49.1,812.0,25.8,78.0,21.2,14.7,68,12.6,1,134,2,1,0,0.4999999999999999,4.0,130.33333333333334,130.0,0.6763085306293591,0.2161764674091696,6.489479743866682,0
2024-01-01 03:00:00,76.1,51.8,887.0,31.8,77.0,22.2,15.2,66,13.0,1,141,3,1,0,0.7071067811865476,7.0,133.0,134.0,0.6806833024877359,0.2303030268135905,8.181165083647887,0
2024-01-01 04:00:00,77.5,53.0,872.0,28.3,95.0,23.6,17.6,57,12.0,1,144,4,1,0,0.8660254037844386,3.0,135.2,141.0,0.6838709589177941,0.3087719244075101,8.632077604063815,0
2024-01-01 05:00:00,75.4,51.7,807.0,20.0,122.0,25.2,20.6,48,14.5,1,141,5,1,0,0.9659258262890684,-3.0,136.16666666666666,144.0,0.6856763834790931,0.4291666577256947,10.07254637165546,0
2024-01-01 06:00:00,71.5,48.9,738.0,13.0,144.0,26.2,23.3,39,15.0,1,134,6,1,0,1.0,-7.0,135.85714285714286,141.0,0.6839160743508241,0.5974358821170287,10.41987555688496,0
2024-01-01 07:00:00,65.7,44.2,669.0,9.6,154.0,26.3,25.1,31,14.0,1,127,7,1,0,0.9659258262890684,-7.0,134.75,134.0,0.6727549364877483,0.8096773932362131,10.40402755668352,0
2024-01-01 08:00:00,57.0,37.3,594.0,7.6,159.0,25.8,26.2,26,12.9,1,136,8,1,0,0.8660254037844387,9.0,134.88888888888889,127.0,0.6543859534318254,1.0076922689349126,10.436319227436822,0
2024-01-01 09:00:00,51.6,32.7,541.0,6.9,159.0,25.4,26.9,25,11.2,1,136,9,1,0,0.7071067811865476,0.0,135.0,136.0,0.633720917951145,1.0759999569600016,9.393110360988748,0
2024-01-01 10:00:00,48.7,30.5,515.0,7.0,156.0,25.3,27.0,25,6.4,1,131,10,1,0,0.4999999999999999,-5.0,134.63636363636363,136.0,0.6262833546964404,1.0799999568000016,5.043268823083021,0
2024-01-01 11:00:00,47.4,29.7,510.0,8.3,150.0,25.3,26.4,26,2.4,1,120,11,1,0,0.258819045102521,-11.0,133.41666666666666,131.0,0.6265822652619776,1.0153845763313625,-1.0895771993749126,0
2024-01-01 12:00:00,34.0,21.4,521.0,12.2,142.0,24.8,24.6,45,14.3,1,106,12,1,0,1.2246467991473532e-16,-14.0,131.30769230769232,120.0,0.6294117461937722,0.5466666545185188,-6.043441142891998,0
2024-01-01 13:00:00,35.7,23.8,615.0,20.6,124.0,23.4,23.7,39,5.9,1,78,13,1,0,-0.2588190451025208,-28.0,127.5,106.0,0.6666666479925308,0.6076922921104541,-1.1257730727216133,0
2024-01-01 14:00:00,35.9,24.6,743.0,31.9,99.0,21.4,21.9,54,3.1,1,77,14,1,0,-0.4999999999999997,-1.0,124.13333333333334,78.0,0.6852367497148539,0.4055555480452676,2.192031021678297,0
2024-01-01 15:00:00,34.8,24.3,830.0,38.4,82.0,19.9,20.7,57,4.7,1,77,15,1,0,-0.7071067811865471,0.0,121.1875,77.0,0.6982758420035678,0.3631578883656511,4.32637281122647,0
2024-01-01 16:00:00,34.9,24.4,836.0,35.6,81.0,19.2,19.9,53,7.7,1,77,16,1,0,-0.8660254037844385,0.0,118.58823529411764,77.0,0.6991403811134562,0.375471691028836,4.633975678270772,0
2024-01-01 17:00:00,37.1,26.0,800.0,27.9,89.0,18.9,19.0,53,8.3,1,80,17,1,0,-0.9659258262890684,3.0,116.44444444444444,77.0,0.7008086064472074,0.358490559273763,4.641301098807199,0
2024-01-01 18:00:00,39.9,27.9,766.0,21.0,96.0,18.8,18.1,57,9.4,1,84,18,1,0,-1.0,4.0,114.73684210526316,80.0,0.6992481027757368,0.317543854078178,6.410784584587486,0
2024-01-01 19:00:00,42.3,29.4,746.0,16.7,99.0,18.7,17.2,61,10.0,1,87,19,1,0,-0.9659258262890684,3.0,113.35,84.0,0.6950354445618099,0.2819672084923408,7.54709580222772,0
2024-01-01 20:00:00,43.4,30.2,727.0,13.2,102.0,18.7,16.5,65,10.0,1,89,20,1,0,-0.8660254037844386,2.0,112.1904761904762,87.0,0.6958525185287439,0.2538461499408285,8.98794046299167,0
2024-01-01 21:00:00,44.0,30.6,713.0,10.5,104.0,18.9,15.9,68,10.5,1,90,21,1,0,-0.7071067811865477,1.0,111.1818181818182,89.0,0.6954545296487608,0.2338235259731834,8.27411291287058,0
2024-01-01 22:00:00,44.5,30.9,693.0,7.4,107.0,19.1,15.6,70,11.7,1,500,22,1,0,-0.5000000000000004,410.0,128.08695652173913,90.0,0.69438200686782,0.2228571396734694,8.556838308944293,1
2024-01-01 23:00:00,45.2,31.3,678.0,5.1,109.0,19.5,15.2,71,12.5,1,91,23,1,0,-0.2588190451025215,-409.0,126.54166666666669,500.0,0.692477860785888,0.2140845040269788,9.714324518212136,0
2024-01-02 00:00:00,42.1,29.2,693.0,8.2,97.0,18.4,15.1,72,12.4,1,87,0,2,1,0.0,-4.0,124.875,91.0,0.6935866818625491,0.2097222193094136,10.031810730249347,0
2024-01-02 01:00:00,44.1,30.6,811.0,19.0,84.0,19.1,14.8,73,11.2,1,90,1,2,1,0.2588190451025207,3.0,123.20833333333331,87.0,0.6938775352862238,0.2027397232501408,7.494262791219212,0
2024-01-02 02:00:00,48.8,33.8,971.0,33.6,67.0,20.1,14.4,76,10.1,1,97,2,2,1,0.4999999999999999,7.0,121.66666666666669,90.0,0.6926229366265791,0.1894736817174515,5.7931220071455645,0
2024-01-02 03:00:00,56.1,38.9,1067.0,41.9,63.0,21.5,15.2,72,9.4,1,109,3,2,1,0.7071067811865476,12.0,120.33333333333331,97.0,0.6934046222209514,0.2111111081790123,2.904759747124506,0
2024-01-02 04:00:00,62.2,43.2,1044.0,38.0,83.0,23.4,17.2,63,9.6,1,120,4,2,1,0.8660254037844386,11.0,119.33333333333331,109.0,0.6945337508917404,0.2730158686822878,2.159530121701103,0
2024-01-02 05:00:00,65.9,45.6,957.0,27.9,117.0,25.7,19.5,54,8.7,1,126,5,2,1,0.9659258262890684,6.0,118.70833333333331,120.0,0.6919575008807662,0.3611111044238684,1.060263287624783,0
2024-01-02 06:00:00,68.9,47.0,863.0,19.1,145.0,27.7,22.2,45,8.5,1,129,6,2,1,1.0,3.0,118.5,126.0,0.6821480307380546,0.4933333223703706,1.7672493719509554,0
2024-01-02 07:00:00,64.0,42.4,768.0,13.9,163.0,29.4,23.8,46,6.5,1,143,7,2,1,0.9659258262890684,14.0,119.16666666666669,129.0,0.6624999896484377,0.5173912931001893,2.116193003971519,0
2024-01-02 08:00:00,57.6,37.4,666.0,10.1,176.0,30.9,24.7,50,1.8,1,160,8,2,1,0.8660254037844387,17.0,120.16666666666669,143.0,0.6493055442828899,0.4939999901200002,1.0832670416736871,1
2024-01-02 09:00:00,54.6,34.9,597.0,8.4,184.0,32.1,25.5,47,3.8,1,171,9,2,1,0.7071067811865476,11.0,121.625,160.0,0.639194127487287,0.5425531799456771,-2.493024310163928,1
2024-01-02 10:00:00,52.7,33.3,540.0,5.3,191.0,33.1,25.1,46,15.5,1,180,10,2,1,0.4999999999999999,9.0,123.66666666666669,171.0,0.6318785458846575,0.5456521620510401,-11.518744794899613,1
