datetime,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,ozone,sulphur_dioxide,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m
2025-10-07T00:00,61.5,18.9,160.0,4.8,54.0,6.0,27.4,76,23.4,274
2025-10-07T01:00,64.0,20.5,506.0,10.9,49.0,7.3,27.1,75,18.4,276
2025-10-07T02:00,76.8,25.5,969.0,19.1,42.0,9.3,26.9,73,14.8,276
2025-10-07T03:00,104.5,31.5,1223.0,23.4,44.0,11.7,27.8,68,12.7,277
2025-10-07T04:00,166.7,36.4,1064.0,20.0,61.0,14.9,29.1,62,13.8,285
2025-10-07T05:00,225.4,43.8,695.0,12.6,87.0,18.5,29.8,55,15.6,289
2025-10-07T06:00,253.3,49.0,402.0,6.9,109.0,21.0,30.5,49,13.6,287
2025-10-07T07:00,261.7,52.2,296.0,4.8,124.0,21.5,31.0,43,13.6,282
2025-10-07T08:00,262.6,53.3,265.0,4.4,134.0,20.9,31.3,40,13.1,278
2025-10-07T09:00,260.8,53.4,263.0,4.8,137.0,20.2,31.2,41,13.7,270
2025-10-07T10:00,258.9,52.7,265.0,5.3,128.0,19.9,30.9,43,14.2,263
2025-10-07T11:00,254.3,51.3,296.0,6.7,111.0,19.5,30.3,47,14.7,253
2025-10-07T12:00,245.9,51.3,379.0,10.8,97.0,21.0,30.1,48,13.2,241
2025-10-07T13:00,188.6,46.2,565.0,20.7,75.0,19.3,28.9,59,12.6,239
2025-10-07T14:00,161.1,44.1,803.0,34.3,44.0,17.0,28.0,69,9.1,236
2025-10-07T15:00,142.5,42.3,967.0,45.0,21.0,15.3,27.3,75,6.4,232
2025-10-07T16:00,129.5,41.0,1010.0,49.7,12.0,14.9,26.9,77,5.6,230
2025-10-07T17:00,121.1,40.5,978.0,51.5,11.0,15.0,26.6,78,5.6,230
2025-10-07T18:00,114.8,41.0,885.0,52.2,10.0,15.1,26.6,78,4.2,250
2025-10-07T19:00,115.9,42.1,688.0,52.5,9.0,14.7,26.3,80,3.9,236
2025-10-07T20:00,118.0,42.5,429.0,51.7,9.0,14.3,26.0,82,4.3,265
2025-10-07T21:00,116.9,41.6,250.0,50.4,9.0,14.0,25.8,84,3.9,292
2025-10-07T22:00,114.8,40.7,182.0,48.0,10.0,13.8,25.6,85,3.5,294
2025-10-07T23:00,111.1,39.8,193.0,45.1,11.0,13.9,25.4,86,2.9,300
2025-10-08T00:00,108.7,39.3,328.0,43.0,12.0,14.9,25.2,86,2.3,309
2025-10-08T01:00,110.4,41.7,730.0,43.9,11.0,17.4,24.9,88,2.1,329
2025-10-08T02:00,120.1,52.2,1255.0,45.8,9.0,20.9,24.6,90,2.9,360
2025-10-08T03:00,104.8,50.5,1519.0,43.8,16.0,24.0,25.1,89,3.6,6
2025-10-08T04:00,101.5,33.8,1264.0,33.9,38.0,26.6,26.7,80,4.8,333
2025-10-08T05:00,114.1,31.7,746.0,20.2,68.0,28.9,27.9,73,5.9,313
2025-10-08T06:00,125.7,33.2,353.0,9.8,94.0,29.8,29.2,65,6.1,298
2025-10-08T07:00,130.9,36.0,251.0,5.7,113.0,28.4,30.1,61,6.6,283
2025-10-08T08:00,130.9,38.0,273.0,5.0,129.0,25.7,30.9,55,7.2,267
2025-10-08T09:00,126.2,38.9,304.0,5.5,136.0,23.7,31.3,54,9.0,254
2025-10-08T10:00,120.6,39.0,295.0,6.2,133.0,23.6,31.1,55,10.9,253
2025-10-08T11:00,112.9,38.0,296.0,8.2,121.0,24.2,30.6,56,12.3,255
2025-10-08T12:00,99.4,34.8,337.0,13.1,103.0,24.0,29.8,58,12.7,255
2025-10-08T13:00,82.2,31.5,440.0,23.5,75.0,22.2,28.8,61,11.6,254
2025-10-08T14:00,71.9,31.5,584.0,36.7,41.0,19.7,28.0,68,10.0,249
2025-10-08T15:00,69.6,31.2,736.0,46.6,16.0,17.7,27.5,74,8.3,252
2025-10-08T16:00,69.4,31.8,928.0,50.3,7.0,16.7,27.1,79,6.3,257
2025-10-08T17:00,70.3,32.4,1128.0,50.7,6.0,16.2,26.9,81,4.5,256
2025-10-08T18:00,71.5,32.6,1213.0,49.8,7.0,15.4,26.6,82,4.3,228
2025-10-08T19:00,71.7,32.2,1095.0,48.1,7.0,14.0,26.5,81,5.7,198
2025-10-08T20:00,70.8,31.4,861.0,45.1,9.0,12.3,26.4,81,4.3,228
2025-10-08T21:00,68.2,31.1,651.0,41.4,11.0,11.1,26.1,83,4.8,283
2025-10-08T22:00,63.6,29.5,504.0,36.4,13.0,10.5,26.1,83,5.1,309
2025-10-08T23:00,61.0,27.9,380.0,30.7,16.0,10.3,25.8,84,4.0,333
